seed_number,year,samples,ready,scribes,grain,paper,tools,binding,ledger_below_50,mean_ledger,lore_stored,lore_lost_total,archive_scribes,state_hash
1,1,52,0,0,1,0,0,51,0,469.884615,1,0,4,1526854542389916007
1,2,52,0,0,9,0,0,43,0,409.211538,1,0,4,6671447868501576031
1,3,52,0,0,52,0,0,0,0,467.500000,1,0,4,3871611948234313573
1,4,52,0,0,33,0,0,19,0,388.769231,3,0,4,5092770414035232367
1,5,52,0,0,2,0,0,50,0,378.461538,4,0,4,14264053269412846586
1,6,53,0,16,0,0,0,37,16,286.830189,0,4,0,11368431697894298210
1,7,52,0,28,0,0,0,24,27,45.961538,0,4,0,614670774507016366
1,8,52,0,33,12,0,7,0,29,46.192308,0,4,1,14574008382112446596
1,9,52,0,0,25,0,0,27,0,177.000000,2,4,2,13833571289485258758
1,10,52,0,0,0,0,0,52,0,246.653846,2,4,2,11827475232799183728
1,11,52,0,22,0,0,0,30,23,131.211538,0,6,0,8454339020150262310
1,12,52,0,52,0,0,0,0,52,16.423077,0,6,0,8365077964562036611
1,13,53,0,46,0,0,0,7,45,25.037736,0,6,0,11662466813916646152
1,14,52,0,40,0,0,0,12,40,29.038462,0,6,0,15030371620356058480
1,15,52,0,52,0,0,0,0,52,20.846154,0,6,0,10173241552266249912
1,16,52,0,43,0,0,0,9,42,22.076923,0,6,0,11785953949787967970
1,17,52,0,52,0,0,0,0,52,11.134615,0,6,0,4074873016280948405
1,18,52,0,52,0,0,0,0,52,0.000000,0,6,0,5384789552579672977
1,19,52,0,52,0,0,0,0,52,0.000000,0,6,0,3783893394733388074
1,20,53,0,53,0,0,0,0,53,0.000000,0,6,0,16761002513747832761
1,21,52,0,52,0,0,0,0,52,0.000000,0,6,0,15922112497655342625
1,22,52,0,52,0,0,0,0,52,0.000000,0,6,0,14011443390227944547
1,23,52,0,52,0,0,0,0,52,0.000000,0,6,0,145439269346166509
1,24,52,0,52,0,0,0,0,52,0.000000,0,6,0,507763410331595405
1,25,52,0,52,0,0,0,0,52,0.000000,0,6,0,9686682730955428037
1,26,52,0,52,0,0,0,0,52,0.000000,0,6,0,2131899521160229223
1,27,53,0,53,0,0,0,0,53,0.000000,0,6,0,771708008259977803
1,28,52,0,52,0,0,0,0,52,0.000000,0,6,0,6473512305160845397
1,29,52,0,52,0,0,0,0,52,0.000000,0,6,0,7703816037667644898
1,30,52,0,52,0,0,0,0,52,0.000000,0,6,0,6726208671282968767
1,31,52,0,52,0,0,0,0,52,0.000000,0,6,0,8005132360117710704
1,32,52,0,52,0,0,0,0,52,0.000000,0,6,0,13784817838062587692
1,33,52,0,52,0,0,0,0,52,0.000000,0,6,0,6212524359214012092
1,34,53,0,53,0,0,0,0,53,0.000000,0,6,0,6882180265400549873
1,35,52,0,52,0,0,0,0,52,0.000000,0,6,0,11267416247859064284
1,36,52,0,52,0,0,0,0,52,0.000000,0,6,0,12288783458841906525
1,37,52,0,52,0,0,0,0,52,0.000000,0,6,0,2593348969442574760
1,38,52,0,52,0,0,0,0,52,0.000000,0,6,0,8333289149135382986
1,39,52,0,52,0,0,0,0,52,0.000000,0,6,0,1794906755889267845
1,40,52,0,52,0,0,0,0,52,0.000000,0,6,0,17404752764501456581
1,41,53,0,53,0,0,0,0,53,0.000000,0,6,0,11597554469079164199
1,42,52,0,52,0,0,0,0,52,0.000000,0,6,0,8548254886192272138
1,43,52,0,52,0,0,0,0,52,0.000000,0,6,0,4851144712194349203
1,44,52,0,52,0,0,0,0,52,0.000000,0,6,0,10278353379726551780
1,45,52,0,52,0,0,0,0,52,0.000000,0,6,0,5802185175773226758
1,46,52,0,52,0,0,0,0,52,0.000000,0,6,0,5908778662742978538
