seed_number,year,samples,ready,scribes,grain,paper,tools,binding,ledger_below_50,mean_ledger,lore_stored,lore_lost_total,archive_scribes,state_hash
1,1,52,0,0,5,0,0,47,0,477.826923,0,0,4,8251992718909035207
1,2,52,0,0,39,0,0,13,0,514.480769,1,0,4,2963059299355335300
1,3,52,0,0,25,0,0,27,0,503.288462,2,0,4,13848798476020890030
1,4,52,0,0,11,0,0,41,0,342.192308,3,0,4,1376811911065144512
1,5,52,0,0,0,0,0,52,0,413.480769,3,0,4,9503313242498955571
1,6,53,0,0,13,0,0,40,0,362.981132,4,0,2,6478852188238869689
1,7,52,0,0,7,0,0,45,0,197.250000,4,0,1,4816682725644946528
1,8,52,0,0,30,0,22,0,0,117.423077,4,0,2,4874405581002659691
1,9,52,0,0,0,0,52,0,0,280.461538,4,0,4,15321966518405820918
1,10,52,0,0,0,0,52,0,0,456.384615,4,0,4,1340417013294056787
1,11,52,0,0,0,0,52,0,0,525.730769,4,0,4,7982107840118653583
1,12,52,0,0,0,0,52,0,0,559.884615,4,0,4,17309471943033188
1,13,53,0,0,0,0,53,0,0,536.905660,4,0,4,10604598341333236334
1,14,52,0,0,0,0,52,0,0,480.000000,4,0,4,4224833820193758399
1,15,52,0,0,0,0,52,0,0,480.000000,4,0,4,11826098001306884956
1,16,52,0,0,0,0,52,0,0,291.500000,4,0,1,8740173121994252998
1,17,52,0,0,0,0,52,0,0,188.788462,4,0,2,5292548356017985851
1,18,52,0,0,0,0,52,0,0,305.173077,4,0,4,8651348335279569725
1,19,52,0,0,0,0,52,0,0,478.365385,4,0,4,11114462564611884299
1,20,53,0,0,0,0,53,0,0,526.905660,2,2,4,1885629411223854541
1,21,52,0,0,0,0,52,0,0,524.307692,2,2,4,6971178144232107859
1,22,52,0,0,0,0,52,0,0,480.000000,2,2,4,11718251677630066789
1,23,52,0,0,0,0,52,0,0,308.615385,2,2,2,17441823994637802450
1,24,52,0,0,0,0,52,0,0,329.115385,2,2,4,17774644811804879111
1,25,52,0,0,0,0,52,0,0,455.769231,2,2,4,16401990781524431834
1,26,52,0,0,0,0,52,0,0,480.000000,2,2,4,12446037508638816493
1,27,53,0,0,0,0,53,0,0,480.000000,2,2,4,11527698755959662226
1,28,52,0,0,0,0,52,0,0,480.000000,2,2,4,1113896383800323610
1,29,52,0,0,0,0,52,0,0,480.000000,2,2,4,14689543779074643823
1,30,52,0,0,0,0,52,0,0,456.057692,2,2,4,4661282359743689516
1,31,52,0,0,0,0,52,0,0,342.673077,2,2,2,13483446531751650757
1,32,52,0,0,0,0,52,0,0,298.211538,2,2,4,16529007305642493050
1,33,52,0,0,0,0,52,0,0,324.903846,2,2,4,11497712466430257347
1,34,53,0,0,0,0,53,0,0,202.830189,2,2,2,14057971535972517438
1,35,52,0,0,0,0,52,0,0,252.153846,2,2,4,14920576122198820965
1,36,52,0,0,0,0,52,0,0,383.000000,2,2,4,10980741035810928420
1,37,52,0,0,0,0,52,0,0,461.000000,2,2,4,4119979921119678168
1,38,52,0,0,0,0,52,0,0,461.000000,2,2,4,14358283026716575752
1,39,52,0,0,0,0,52,0,0,347.653846,2,2,2,3574663945394149985
1,40,52,0,0,0,0,52,0,0,277.692308,2,2,2,12244179922750413229
1,41,53,1,0,4,0,37,11,0,148.396226,4,2,1,3337073693891978277
1,42,52,0,24,0,0,0,28,24,77.846154,0,6,0,3156788126068482739
1,43,52,0,46,0,0,0,6,45,11.961538,0,6,0,11022868283152130935
1,44,52,0,52,0,0,0,0,52,5.000000,0,6,0,5008535295204478980
1,45,52,0,52,0,0,0,0,52,5.000000,0,6,0,11641282187314211725
1,46,52,0,52,0,0,0,0,52,5.000000,0,6,0,10572365276545868958
1,47,52,0,52,0,0,0,0,52,5.000000,0,6,0,12349456130815250000
1,48,53,0,53,0,0,0,0,53,5.000000,0,6,0,16045763278942472300
1,49,52,0,52,0,0,0,0,52,5.000000,0,6,0,1854454091410050048
1,50,52,0,52,0,0,0,0,52,5.000000,0,6,0,1559248671104998911
1,51,52,0,52,0,0,0,0,52,5.000000,0,6,0,3780721811642410323
1,52,52,0,52,0,0,0,0,52,5.000000,0,6,0,8887950570053097798
1,53,52,0,52,0,0,0,0,52,5.000000,0,6,0,17917415938022752486
1,54,52,0,52,0,0,0,0,52,5.000000,0,6,0,5562223831460418099
1,55,53,0,53,0,0,0,0,53,5.000000,0,6,0,9792525768792305408
1,56,52,0,52,0,0,0,0,52,5.000000,0,6,0,9346270290901188416
1,57,52,0,52,0,0,0,0,52,4.076923,0,6,0,8281460200144097819
1,58,52,0,52,0,0,0,0,52,3.442308,0,6,0,17446472455810883046
1,59,52,0,52,0,0,0,0,52,5.000000,0,6,0,16438371531421951200
1,60,52,0,52,0,0,0,0,52,0.384615,0,6,0,610589709733977686
1,61,52,0,52,0,0,0,0,52,0.000000,0,6,0,8130254810536785779
1,62,53,0,53,0,0,0,0,53,0.000000,0,6,0,4775360230692408541
1,63,52,0,52,0,0,0,0,52,0.000000,0,6,0,3123101585361919321
1,64,52,0,52,0,0,0,0,52,0.000000,0,6,0,6672223422122225030
1,65,52,0,52,0,0,0,0,52,0.000000,0,6,0,14777080632333971106
1,66,52,0,52,0,0,0,0,52,0.000000,0,6,0,16557197352630914491
1,67,52,0,52,0,0,0,0,52,0.000000,0,6,0,16792054209791764010
1,68,52,0,52,0,0,0,0,52,0.000000,0,6,0,8584409442604759523
1,69,53,0,53,0,0,0,0,53,0.000000,0,6,0,18144351446207294881
1,70,52,0,52,0,0,0,0,52,0.000000,0,6,0,10879747603436063781
1,71,52,0,52,0,0,0,0,52,0.000000,0,6,0,7534698128273616564
1,72,52,0,52,0,0,0,0,52,0.000000,0,6,0,8156105702656492704
1,73,52,0,52,0,0,0,0,52,0.000000,0,6,0,5740243924691947388
1,74,52,0,52,0,0,0,0,52,0.000000,0,6,0,4317838659649429793
1,75,52,0,52,0,0,0,0,52,0.000000,0,6,0,6165540645689206702
1,76,53,0,53,0,0,0,0,53,0.000000,0,6,0,2024959388995415859
1,77,52,0,52,0,0,0,0,52,0.000000,0,6,0,939099525039185308
1,78,52,0,52,0,0,0,0,52,0.000000,0,6,0,17198513424175938491
1,79,52,0,52,0,0,0,0,52,0.000000,0,6,0,12627021443938105465
1,80,52,0,52,0,0,0,0,52,0.000000,0,6,0,17897609686227314619
1,81,52,0,52,0,0,0,0,52,0.000000,0,6,0,8138569416227755366
1,82,52,0,52,0,0,0,0,52,0.000000,0,6,0,1703967753255604215
1,83,53,0,53,0,0,0,0,53,0.000000,0,6,0,1784109269507526917
1,84,52,0,52,0,0,0,0,52,0.000000,0,6,0,5157225145846027120
1,85,52,0,52,0,0,0,0,52,0.000000,0,6,0,3974725520077092662
1,86,52,0,52,0,0,0,0,52,0.000000,0,6,0,8302748989242529756
1,87,52,0,52,0,0,0,0,52,0.000000,0,6,0,8785613591703089525
1,88,52,0,52,0,0,0,0,52,0.000000,0,6,0,4372931870584549671
1,89,52,0,52,0,0,0,0,52,0.000000,0,6,0,11091440650503485863
1,90,53,0,53,0,0,0,0,53,0.000000,0,6,0,237229213284331322
1,91,52,0,52,0,0,0,0,52,0.000000,0,6,0,15502868897229498033
1,92,52,0,52,0,0,0,0,52,0.000000,0,6,0,14051877415027906735
1,93,52,0,52,0,0,0,0,52,0.000000,0,6,0,8381434860514783964
1,94,52,0,52,0,0,0,0,52,0.000000,0,6,0,6627413294268910792
1,95,52,0,52,0,0,0,0,52,0.000000,0,6,0,10576543865330902315
1,96,52,0,52,0,0,0,0,52,0.000000,0,6,0,6075579628525218770
1,97,53,0,53,0,0,0,0,53,0.000000,0,6,0,1224314411235302353
1,98,52,0,52,0,0,0,0,52,0.000000,0,6,0,14485427248546877713
1,99,52,0,52,0,0,0,0,52,0.000000,0,6,0,6338724184485980424
1,100,52,0,52,0,0,0,0,52,0.000000,0,6,0,10319465329386697955
2,1,52,0,0,5,0,0,47,0,480.000000,0,0,4,6851073150618837341
2,2,52,0,0,12,0,0,40,0,480.000000,1,0,4,10441134163715541775
2,3,52,0,0,22,0,0,30,0,448.480769,3,0,4,5001475819317092317
2,4,52,0,0,0,0,17,35,0,467.615385,3,0,4,2889871500120238873
2,5,52,0,0,8,0,26,18,0,211.019231,5,0,2,8293263944748415295
2,6,53,0,0,5,0,0,48,0,251.358491,6,0,2,14226986512836965198
2,7,52,0,0,5,0,0,47,0,279.576923,7,0,2,15606650822051859500
2,8,52,0,0,6,0,0,46,0,205.846154,8,0,2,11049396174152892444
2,9,52,0,28,1,0,0,23,29,58.403846,0,9,0,8714649556814356537
2,10,52,0,47,5,0,0,0,46,25.653846,0,9,1,15559969774599461516
2,11,52,1,0,17,0,0,34,0,150.000000,2,9,2,12606717951661013097
2,12,52,0,0,13,0,0,39,0,274.500000,3,9,4,8836569067522776033
