seed,control_population,agent_population,control_prosperity,agent_prosperity,control_hunger,agent_hunger,control_active_settlements,agent_active_settlements,control_closed_routes,agent_closed_routes,repairs,repair_failures,travel_attempts,travel_successes,jobs_accepted,jobs_completed,combats_initiated,combats_won,combats_lost,route_jobs_accepted,relief_jobs_accepted,jobs_resolved,jobs_expired,jobs_abandoned,jobs_unresolved,objective_loss,objective_pass,world_seed,target_day,control_day,agent_day,control_maximum_hunger,agent_maximum_hunger,control_population_weighted_hunger,agent_population_weighted_hunger,control_abandoned_settlements,agent_abandoned_settlements,schema_version,generator_version,control_hash,agent_hash,oracle_population,oracle_prosperity,oracle_hunger,oracle_active_settlements,oracle_closed_routes,oracle_abandoned_settlements,oracle_repairs,oracle_jobs_completed,oracle_travel_successes,oracle_exchange_probes,oracle_exchange_pairs,oracle_exchange_order_matters,gap_population,gap_prosperity,gap_hunger,gap_closed_routes
1,10604,10314,29,29,66,66,6,6,3,4,0,406,7483,92,289,0,0,0,0,289,0,0,59,0,229,5170,0,2654435769,3651,3651,3651,100,100,46,44,0,0,99,25,f4bbe4907d2674f3,63543e9f61571e2f,10561,31,66,6,4,0,0,0,3,0,0,0,247,2,0,0
2,13169,13533,44,56,42,26,6,6,4,5,0,567,4893,633,162,0,0,0,0,162,0,0,36,4,121,2820,0,1013904242,3651,3651,3651,99,99,26,15,0,0,99,25,75817ee97aa7dea5,97947c8c3f13d4c8,13797,60,34,6,4,0,0,0,32,0,0,0,264,4,-8,1
3,13174,12504,52,60,18,17,6,6,3,4,0,434,5747,470,281,0,0,0,0,281,0,0,60,0,220,5000,0,3668340011,3651,3651,3652,99,99,10,8,0,0,99,25,6f6e0f321b0bddd0,1a98958f09a8e062,12863,41,43,6,4,0,0,0,22,0,0,0,359,-19,-26,0
4,10777,10877,26,26,66,66,6,6,5,5,0,378,5114,350,330,0,0,0,0,330,0,0,67,0,262,5910,0,2027808484,3651,3651,3651,100,100,47,47,0,0,99,25,017ca2f1477e0651,9a3887b674bcfbd1,11146,28,62,6,5,0,0,0,7,25,0,0,269,2,4,0
5,13531,14313,65,77,34,18,6,6,2,2,0,361,4762,559,315,0,0,0,0,315,0,0,69,1,244,5580,0,387276957,3651,3651,3651,100,99,20,8,0,0,99,25,82a38da267b69edf,94e2c6a2a3174ea0,14061,52,18,6,2,0,0,0,58,0,0,0,-252,-25,0,0
6,14144,13443,63,61,21,33,6,6,3,3,0,495,5385,329,213,0,0,0,0,213,0,0,45,2,165,3770,0,3041712726,3651,3651,3651,100,100,17,20,0,0,99,25,e725818fb37a5412,00a2dcb5f73afeb6,13824,62,32,6,2,0,0,0,72,0,0,0,381,1,1,1
7,12473,13176,40,57,42,27,6,6,4,3,0,1174,6563,434,173,0,0,0,0,173,0,0,38,2,132,3040,0,1401181199,3651,3651,3651,100,99,31,15,0,0,99,25,c12676fd94655130,db075d60068f22c6,12030,26,66,6,7,0,0,0,38,0,0,0,-1146,-31,-39,-4
8,13404,14041,42,59,31,34,6,6,3,3,0,589,6325,432,289,0,0,0,0,289,0,0,62,0,226,5140,0,4055616968,3651,3651,3651,85,100,19,22,0,0,99,25,650ca2178d1f02ae,e3e643e72e4f13af,13702,58,19,6,3,0,0,0,46,0,0,0,-339,-1,15,0
9,13679,13396,62,59,22,33,6,6,3,5,0,238,5264,396,257,0,0,0,0,257,0,0,52,1,203,4590,0,2415085441,3651,3651,3651,100,100,14,18,0,0,99,25,95621fc0fedeb023,daa1e0e1a5a8a14e,13808,57,27,6,3,0,0,0,95,0,0,0,412,-2,6,2
10,11252,11165,31,29,66,67,6,6,3,3,0,533,5778,83,250,0,0,0,0,250,0,0,50,1,198,4470,0,774553914,3651,3651,3651,100,100,46,47,0,0,99,25,5f9144492be77592,c88c5295738a8381,11293,30,66,6,4,0,0,0,5,0,0,0,128,1,1,-1
