seed,population,inhabited_towns,closed_roads,human_cult,goblin_cult,goblins,goblin_cohesion,goblin_raids,empty_goblin_raids,bandit_name,bandits,camp_size,bandit_raids,bandit_peak,last_bandit_raid_year,dragon_slain,dragon_successors,revival_rituals,dragon_stage,dragon_retaliations,true_ages,meetings,almanacs,empty_arrivals,loaded_arrivals,cows,sheep,common_ponies,monster_pressure,war_days,weighted_hunger,town_tools,version,state_hash,crown_sightings,crown_almanacs
5,13175,4,8,60,24,45,100,27367,0,The Tallow Knives,4,0,10,37,1,5,5,5,2,143,4,2,0,0,891,61,160,35,100,3593,0.510057,0,before,10777528426463681708,,
17,13151,4,8,60,24,35,100,27272,0,The Ditch Parliament,4,0,4,35,1,5,5,4,3,164,3,0,0,0,9806,62,165,36,100,4041,0.472664,0,before,8081723789442371705,,
42,13159,4,8,60,11,11,100,29365,3,The Broken Pennants,4,0,750,120,59,0,0,0,4,239,1,0,0,0,532,62,146,35,100,905,0.427388,0,before,10216411036418122202,,
137,13370,4,8,60,11,12,100,27806,0,The Tallow Knives,4,0,887,120,71,0,0,0,4,150,1,0,0,0,431,63,141,35,100,1129,1.658489,0,before,1215488958630773383,,
731,3635,3,8,60,11,11,100,29078,1,The Unpaid Company,4,0,820,120,66,0,0,0,4,265,1,0,0,0,575,63,139,35,100,1082147,1.843191,0,before,4044693722519754993,,
2026,13253,4,8,60,24,47,100,27143,3,The Unpaid Company,4,0,1008,120,119,5,5,5,1,212,4,2,0,0,1125,62,162,35,100,5161,0.469026,0,before,11273692328804882721,,
5,13102,4,8,60,24,39,100,27216,0,The Tallow Knives,4,0,10,37,1,5,5,4,3,145,0,2,0,0,5580,61,148,35,100,4153,0.408029,0,after,1422600934257400852,1,1
17,13245,4,8,60,24,35,100,27279,0,The Ditch Parliament,4,0,4,35,1,5,5,4,3,164,0,0,0,0,9774,63,168,36,100,4041,0.536353,0,after,6406750581968591262,0,0
42,13159,4,8,60,11,12,100,29365,3,The Broken Pennants,4,0,750,120,59,0,0,0,4,239,1,0,0,0,532,62,146,35,100,905,0.427388,0,after,12449642547259773147,0,0
137,13370,4,8,60,11,12,100,27806,0,The Tallow Knives,4,0,887,120,71,0,0,0,4,150,1,0,0,0,431,63,141,35,100,1129,1.658489,0,after,8585166932710836537,1,0
731,3635,3,8,60,11,12,100,29078,1,The Unpaid Company,4,0,820,120,66,0,0,0,4,265,1,0,0,0,575,63,139,35,100,1082147,1.843191,0,after,1603209097713390195,0,0
2026,13181,4,8,60,24,35,100,27150,3,The Unpaid Company,4,0,1008,120,119,5,5,4,3,225,0,2,0,0,1146,62,164,35,100,5161,0.404218,0,after,5583776886281109274,1,2
