version,seed,population,inhabited_towns,closed_roads,human_cult,goblin_cult,goblins,goblin_cohesion,goblin_raids,empty_goblin_raids,bandit_name,bandits,camp_size,bandit_raids,bandit_peak,last_bandit_raid_year,dragon_slain,dragon_successors,revival_rituals,dragon_stage,dragon_retaliations,true_ages,meetings,almanacs,empty_arrivals,loaded_arrivals,cows,sheep,common_ponies,monster_pressure,war_days,weighted_hunger,town_tools
before,5,13210,4,8,0,11,12,3,24280,1846,The Tallow Knives,120,3,20946,120,3000,1,0,0,6,2,1,3,0,52863,8828,62,193,35,100,5161,0.425738,0
before,17,13205,4,8,0,11,12,2,24336,1762,The Ditch Parliament,120,3,19662,120,3000,1,0,0,6,4,1,0,0,15528,613,62,169,35,100,2361,1.550398,0
before,42,13200,4,8,0,11,24,98,28542,11033,The Broken Pennants,120,3,38988,120,3000,1,0,0,6,16,1,0,0,36024,479,62,139,35,100,1353,1.177652,0
before,137,13279,4,8,0,11,13,35,24260,1642,The Tallow Knives,120,3,35776,120,3000,1,0,0,6,2,1,0,0,11710,669,73,139,35,100,1017,0.490398,0
before,731,13337,4,8,0,11,24,51,29500,15253,The Unpaid Company,4,3,749,120,63,1,0,0,6,20,1,0,0,34232,700,66,139,35,100,2249,0.346705,0
before,2026,13195,4,8,0,11,13,49,24321,1891,The Unpaid Company,4,3,13,35,59,1,0,0,6,5,1,4,0,10943,569,61,171,35,100,3144,0.381357,0
after,5,13175,4,8,60,24,45,100,27367,0,The Tallow Knives,4,0,10,37,1,5,5,5,2,143,4,2,0,0,891,61,160,35,100,3593,0.510057,0
after,17,13151,4,8,60,24,35,100,27272,0,The Ditch Parliament,4,0,4,35,1,5,5,4,3,164,3,0,0,0,9806,62,165,36,100,4041,0.472664,0
after,42,13159,4,8,60,11,11,100,29365,3,The Broken Pennants,4,0,750,120,59,0,0,0,4,239,1,0,0,0,532,62,146,35,100,905,0.427388,0
after,137,13370,4,8,60,11,12,100,27806,0,The Tallow Knives,4,0,887,120,71,0,0,0,4,150,1,0,0,0,431,63,141,35,100,1129,1.658489,0
after,731,3635,3,8,60,11,11,100,29078,1,The Unpaid Company,4,0,820,120,66,0,0,0,4,265,1,0,0,0,575,63,139,35,100,1082147,1.843191,0
after,2026,13253,4,8,60,24,47,100,27143,3,The Unpaid Company,4,0,1008,120,119,5,5,5,1,212,4,2,0,0,1125,62,162,35,100,5161,0.469026,0
