seed,control_population,agent_population,control_prosperity,agent_prosperity,control_hunger,agent_hunger,control_active_settlements,agent_active_settlements,control_closed_routes,agent_closed_routes,repairs,repair_failures,travel_attempts,travel_successes,jobs_accepted,jobs_completed,combats_initiated,combats_won,combats_lost,route_jobs_accepted,relief_jobs_accepted,jobs_resolved,jobs_expired,jobs_abandoned,jobs_unresolved,objective_loss,objective_pass
1,13293,13335,38,39,38,37,4,4,8,8,2,0,17790,192,3,2,0,0,0,3,0,0,1,0,2,50,0
2,7197,14022,50,50,23,23,5,5,8,5,2,0,41568,123,9,2,0,0,0,9,0,0,2,0,7,160,0
3,15117,15050,26,26,53,54,5,5,8,8,2,0,15880,377,3,2,0,0,0,3,0,0,1,0,2,50,0
4,13409,13525,39,42,33,29,5,5,8,3,2,0,39727,488,9,2,0,0,0,9,0,0,2,0,7,160,0
5,13360,13357,39,39,37,37,4,4,8,8,2,0,11279,784,5,2,0,0,0,5,0,0,1,0,4,90,0
6,17391,16891,56,39,20,37,5,4,8,8,2,0,12121,499,9,2,0,0,0,9,0,0,2,0,7,160,0
7,17442,16962,54,33,20,37,5,4,8,8,2,0,5608,511,4,2,0,0,0,4,0,0,1,0,3,70,0
8,15142,14759,26,26,66,53,4,5,8,8,2,0,11138,278,4,2,0,0,0,4,0,0,1,0,3,70,0
9,17472,17571,55,39,20,36,5,6,8,8,2,0,10817,471,10,2,0,0,0,10,0,0,2,0,8,180,0
10,13307,12972,30,29,37,36,5,4,8,8,2,0,17070,161,5,2,0,0,0,5,0,0,1,0,4,90,0
11,16964,17478,39,55,37,19,4,5,8,8,2,0,3270,548,5,2,0,0,0,5,0,0,1,0,4,90,0
12,13932,13273,31,29,21,50,6,4,2,8,2,0,14281,407,4,2,0,0,0,4,0,0,1,0,3,70,0
13,16968,16968,38,39,37,37,4,4,8,8,2,0,14621,459,4,2,0,0,0,4,0,0,1,0,3,70,0
14,16880,17938,38,58,36,8,4,6,8,7,2,0,48758,474,4,2,0,0,0,4,0,0,1,0,3,70,0
15,14653,14735,25,26,53,53,5,4,8,8,2,0,12119,579,3,2,0,0,0,3,0,0,1,0,2,50,0
16,16886,17412,38,41,37,23,4,6,8,2,2,0,56060,531,3,2,0,0,0,3,0,0,1,0,2,50,0
17,13346,13869,39,42,37,35,4,5,8,4,2,0,38424,320,3,2,0,0,0,3,0,0,1,0,2,50,0
18,13401,13611,39,36,36,44,5,5,8,8,2,0,11174,329,4,2,0,0,0,4,0,0,1,0,3,70,0
19,15900,15176,26,25,32,53,6,5,2,8,2,0,6222,501,3,2,0,0,0,3,0,0,1,0,2,50,0
20,16969,17214,39,39,36,35,4,6,8,8,2,0,13739,453,3,2,0,0,0,3,0,0,1,0,2,50,0
21,17425,17115,38,55,36,20,6,5,8,8,2,0,19763,517,3,2,0,0,0,3,0,0,1,0,2,50,0
22,13191,13143,38,39,37,36,4,4,8,8,2,0,11832,453,4,2,0,0,0,4,0,0,1,0,3,70,0
23,17098,17870,43,52,19,14,5,6,8,8,2,0,7488,488,8,2,0,0,0,8,0,0,2,0,6,140,0
24,14477,14390,26,26,54,53,4,4,8,8,2,0,11734,341,4,2,0,0,0,4,0,0,1,0,3,70,0
25,17470,17432,58,50,20,24,5,6,3,7,2,0,13682,427,10,2,0,0,0,10,0,0,2,0,8,180,0
26,16876,17409,39,60,36,11,4,6,8,2,2,0,56646,681,3,2,0,0,0,3,0,0,1,0,2,50,0
27,16966,17216,38,38,37,37,4,5,8,5,2,0,50955,620,3,2,2,2,0,3,0,0,1,0,2,50,0
28,17237,16968,55,38,20,36,5,4,4,8,2,0,10135,436,3,2,0,0,0,3,0,0,1,0,2,50,0
29,13390,13576,39,37,36,36,5,5,8,8,2,0,19283,335,4,2,0,0,0,4,0,0,1,0,3,70,0
30,17458,16960,54,39,20,36,5,4,7,8,2,0,12716,368,4,2,0,0,0,4,0,0,1,0,3,70,0
31,17147,17293,40,38,20,36,6,6,8,8,2,0,27995,550,5,2,0,0,0,5,0,0,1,0,4,90,0
32,17309,17160,39,39,36,36,5,5,8,8,2,0,11041,492,8,2,0,0,0,8,0,0,2,0,6,140,0
33,16883,16884,39,38,36,36,4,4,8,8,2,0,11114,352,3,2,0,0,0,3,0,0,1,0,2,50,0
34,17184,17471,53,55,19,20,5,5,4,8,2,0,3777,118,9,2,0,0,0,9,0,0,2,0,7,160,0
35,13361,13343,38,38,36,36,4,5,8,8,2,0,16525,526,10,2,0,0,0,10,0,0,2,0,8,180,0
36,16967,16967,34,38,37,37,4,4,8,8,2,0,8769,569,4,2,0,0,0,4,0,0,1,0,3,70,0
37,13353,13270,32,32,36,37,4,4,8,8,2,0,19352,415,5,2,0,0,0,5,0,0,1,0,4,90,0
38,15221,14277,29,32,39,49,6,6,2,8,2,0,19187,442,10,2,0,0,0,10,0,0,2,0,8,180,0
39,13187,13288,29,25,36,54,5,5,8,5,2,0,33956,398,10,2,0,0,0,10,0,0,2,0,8,180,0
40,13339,13272,37,39,36,36,4,4,8,8,2,0,12824,481,3,2,0,0,0,3,0,0,1,0,2,50,0
41,13871,17434,39,53,35,20,6,5,8,8,2,0,15961,591,4,2,0,0,0,4,0,0,1,0,3,70,0
42,17039,17054,38,38,36,37,5,5,8,8,2,0,14666,438,2,2,0,0,0,2,0,0,1,0,1,30,0
43,17021,17854,38,51,37,5,5,6,8,3,2,0,46348,503,3,2,0,0,0,3,0,0,1,0,2,50,0
44,14505,14284,25,26,53,53,5,4,8,8,2,0,17345,396,3,2,0,0,0,3,0,0,1,0,2,50,0
45,16967,16960,39,39,37,37,4,4,8,8,2,0,3156,542,5,2,0,0,0,5,0,0,1,0,4,90,0
46,17277,17569,38,53,36,14,5,6,8,2,2,0,50796,550,3,2,0,0,0,3,0,0,1,0,2,50,0
47,14617,15454,25,29,53,53,4,5,8,8,2,0,18677,272,4,2,0,0,0,4,0,0,1,0,3,70,0
48,13324,13367,39,38,36,40,4,4,8,8,2,0,4353,561,4,2,0,0,0,4,0,0,1,0,3,70,0
49,13264,13229,26,26,51,54,5,5,4,8,2,0,9260,383,3,2,0,0,0,3,0,0,1,0,2,50,0
50,13361,13260,36,31,57,36,5,4,8,8,2,0,11816,295,9,2,0,0,0,9,0,0,2,0,7,160,0
51,17186,17453,52,54,19,20,5,5,8,8,2,0,10604,620,4,2,0,0,0,4,0,0,1,0,3,70,0
52,17135,16961,38,34,37,36,5,4,8,8,2,0,6028,450,4,2,0,0,0,4,0,0,1,0,3,70,0
