seed,tracked_gold,dragon_hoard,hoard_share_permille,treasury_share_permille,goblin_share_permille,circulating_share_permille,dragons_slain
1,3341,2831,847,0,0,152,0
2,3509,3156,899,0,0,100,0
3,3304,2739,828,0,0,171,0
4,3373,2434,721,0,0,277,0
5,3349,2630,785,0,0,214,0
6,3459,2737,791,34,0,174,0
7,3314,2113,637,0,0,362,0
8,3319,2865,863,28,0,108,0
9,3362,2377,707,105,0,187,0
10,3350,2836,846,2,0,151,0
11,3349,2661,794,0,0,205,0
12,3329,2851,856,38,0,105,0
13,3424,2703,789,0,0,210,0
14,3271,2951,902,0,0,96,0
15,3343,2706,809,0,0,190,0
16,3417,2865,838,0,0,161,0
17,3463,2874,829,0,0,170,0
18,3269,2989,914,0,0,85,0
19,3457,3070,888,2,0,109,0
20,3412,2690,788,20,0,191,0
21,3502,2708,773,102,0,123,0
22,3341,2773,829,0,0,170,0
23,3350,2927,873,0,0,126,0
24,3468,2754,794,0,0,205,0
25,3369,2789,827,36,0,135,0
26,3459,2970,858,0,0,141,0
27,3476,2525,726,0,0,273,0
28,3411,2915,854,0,0,145,0
29,3176,2750,865,0,0,134,0
30,3487,3093,887,0,0,112,0
31,3330,2653,796,114,0,88,0
32,3319,2671,804,25,0,169,0
33,3430,2802,816,12,0,170,0
34,3373,2682,795,0,0,204,0
35,3323,2796,841,0,0,157,0
36,3465,2410,695,124,0,179,0
37,3373,2698,799,0,0,199,0
38,3387,2394,706,77,0,216,0
39,3493,2994,857,0,0,142,0
40,3299,1961,594,2,0,403,0
41,3289,2231,678,9,0,312,0
42,3425,2931,855,11,0,132,0
43,3486,3038,871,0,0,128,0
44,3220,2876,893,0,0,106,0
45,3284,2334,710,37,0,251,0
46,3437,2990,869,0,0,130,0
47,3399,2665,784,0,0,215,0
48,3365,2483,737,129,0,132,0
