year,tracked_gold_median,hoard_share_permille_median,treasury_share_permille_median,goblin_share_permille_median,circulating_share_permille_median,circulating_share_permille_p10,circulating_share_permille_p90
1,3371.0,57.0,437.0,0.0,503.0,412,628
2,3371.0,119.0,391.5,0.0,490.0,408,602
3,3371.0,196.5,375.0,0.0,424.5,366,599
4,3371.0,282.0,303.5,0.0,413.5,355,589
5,3371.0,378.5,226.0,0.0,401.5,337,536
6,3371.0,471.0,155.5,0.0,375.0,334,471
7,3371.0,560.0,104.0,0.0,347.0,277,452
8,3371.0,627.0,58.0,0.0,309.0,240,431
9,3371.0,671.5,34.0,0.0,268.0,206,421
10,3371.0,715.0,30.0,0.0,252.5,168,386
11,3371.0,739.0,24.5,0.0,241.5,145,388
12,3371.0,755.0,13.0,0.0,222.0,137,352
13,3371.0,757.0,11.0,0.0,222.5,132,370
14,3371.0,758.5,10.0,0.0,212.0,132,379
15,3371.0,766.5,9.5,0.0,206.5,132,361
16,3371.0,769.5,9.5,0.0,196.0,129,345
17,3371.0,778.5,9.5,0.0,182.0,129,347
18,3371.0,782.5,9.5,0.0,178.0,127,342
19,3371.0,784.0,9.0,0.0,175.5,127,348
20,3371.0,784.0,7.0,0.0,175.5,127,340
21,3371.0,784.0,7.0,0.0,172.0,125,336
22,3371.0,784.0,7.0,0.0,172.0,125,336
23,3371.0,787.5,7.0,0.0,172.0,123,328
24,3371.0,787.5,7.0,0.0,172.0,116,321
25,3371.0,789.0,3.5,0.0,172.0,116,313
26,3371.0,789.0,2.0,0.0,172.0,116,313
27,3371.0,789.0,1.0,0.0,172.0,116,313
28,3371.0,789.0,1.0,0.0,172.0,115,313
29,3371.0,789.0,1.0,0.0,172.0,115,313
30,3371.0,789.0,1.0,0.0,172.0,112,313
31,3371.0,790.0,1.0,0.0,172.0,112,313
32,3371.0,790.0,1.0,0.0,171.5,112,313
33,3371.0,790.5,1.0,0.0,171.0,116,305
34,3371.0,790.5,0.0,0.0,169.0,112,305
35,3371.0,790.5,0.0,0.0,169.0,112,305
36,3371.0,790.5,0.0,0.0,169.0,108,288
37,3371.0,795.5,0.0,0.0,168.5,108,278
38,3371.0,799.0,0.0,0.0,167.5,106,278
39,3371.0,799.0,0.0,0.0,167.5,106,278
40,3371.0,799.0,0.0,0.0,167.5,106,278
41,3371.0,800.5,0.0,0.0,167.5,106,278
42,3371.0,800.5,0.0,0.0,167.5,106,278
43,3371.0,800.5,0.0,0.0,167.5,106,278
44,3371.0,800.5,0.0,0.0,167.5,106,278
45,3371.0,800.5,0.0,0.0,167.5,106,278
46,3371.0,802.0,0.0,0.0,167.5,106,278
47,3371.0,802.0,0.0,0.0,167.5,106,278
48,3371.0,806.5,0.0,0.0,167.5,106,278
49,3371.0,808.5,0.0,0.0,167.5,106,278
50,3371.0,808.5,0.0,0.0,167.5,106,278
51,3371.0,812.5,0.0,0.0,167.0,106,278
52,3371.0,812.5,0.0,0.0,167.0,106,278
53,3371.0,812.5,0.0,0.0,167.0,106,278
54,3371.0,812.5,0.0,0.0,167.0,106,278
55,3371.0,812.5,0.0,0.0,167.0,106,277
56,3371.0,812.5,0.0,0.0,166.5,106,276
57,3371.0,817.0,0.0,0.0,165.0,106,276
58,3371.0,817.0,0.0,0.0,167.5,105,276
59,3371.0,821.5,0.0,0.0,165.0,105,273
60,3371.0,821.5,0.0,0.0,165.0,105,273
