seed_number,world_seed,schema_version,generator_version,year,day,route_id,from_id,to_id,from_kingdom_id,to_kingdom_id,from_population,to_population,condition,closed,war_border,smuggler_route,interval_days,closed_days,war_border_days,unavailable_inhabited_days,unavailable_ruin_days,cumulative_sampled_days,cumulative_closed_days,cumulative_war_border_days,cumulative_unavailable_inhabited_days,cumulative_unavailable_ruin_days,current_outage_days,longest_outage_days
1,2654435769,59,25,40,14601,216172782113783818,144115188075855876,144115188075855877,72057594037927937,72057594037927937,2802,397,57,0,0,0,365,0,0,0,0,14600,0,0,0,0,0,0
1,2654435769,59,25,40,14601,216172782113783819,144115188075855877,144115188075855878,72057594037927937,72057594037927938,397,430,20,1,0,1,365,365,0,365,0,14600,11044,569,11044,0,10290,10290
1,2654435769,59,25,40,14601,216172782113783820,144115188075855878,144115188075855879,72057594037927938,72057594037927937,430,448,21,1,0,0,365,365,0,365,0,14600,10374,0,10374,0,10374,10374
1,2654435769,59,25,40,14601,216172782113783821,144115188075855879,144115188075855880,72057594037927937,72057594037927939,448,7697,21,1,0,0,365,365,0,365,0,14600,6062,0,6062,0,1106,3472
1,2654435769,59,25,40,14601,216172782113783822,144115188075855880,144115188075855881,72057594037927939,72057594037927939,7697,395,72,1,0,0,365,365,0,365,0,14600,9506,0,9506,0,9506,9506
1,2654435769,59,25,40,14601,216172782113783823,144115188075855881,144115188075855877,72057594037927939,72057594037927937,395,397,61,1,0,0,365,365,0,365,0,14600,10122,0,10122,0,10122,10122
1,2654435769,59,25,40,14601,216172782113783824,144115188075855877,144115188075855879,72057594037927937,72057594037927937,397,448,0,1,0,1,365,365,0,365,0,14600,10458,569,10458,0,10094,10094
1,2654435769,59,25,40,14601,216172782113783825,144115188075855878,144115188075855880,72057594037927938,72057594037927939,430,7697,21,1,0,0,365,365,0,365,0,14600,5726,0,5726,0,490,3668
2,1013904242,59,25,40,14601,216172782113783818,144115188075855876,144115188075855877,72057594037927937,72057594037927937,2801,485,23,1,0,0,365,182,0,182,0,14600,182,0,182,0,182,182
2,1013904242,59,25,40,14601,216172782113783819,144115188075855877,144115188075855878,72057594037927937,72057594037927938,485,4202,56,1,0,0,365,365,0,365,0,14600,11688,1129,11688,0,10542,10542
2,1013904242,59,25,40,14601,216172782113783820,144115188075855878,144115188075855879,72057594037927938,72057594037927937,4202,454,38,1,0,0,365,365,0,365,0,14600,7602,0,7602,0,7602,7602
2,1013904242,59,25,40,14601,216172782113783821,144115188075855879,144115188075855880,72057594037927937,72057594037927939,454,8203,25,1,0,0,365,365,0,365,0,14600,7098,0,7098,0,7098,7098
2,1013904242,59,25,40,14601,216172782113783822,144115188075855880,144115188075855881,72057594037927939,72057594037927939,8203,469,53,1,0,0,365,365,0,365,0,14600,7266,0,7266,0,7266,7266
2,1013904242,59,25,40,14601,216172782113783823,144115188075855881,144115188075855877,72057594037927939,72057594037927937,469,485,41,1,0,0,365,365,0,365,0,14600,11970,0,11970,0,11970,11970
2,1013904242,59,25,40,14601,216172782113783824,144115188075855877,144115188075855879,72057594037927937,72057594037927937,485,454,0,1,0,1,365,365,0,365,0,14600,8218,1129,8218,0,8218,8218
2,1013904242,59,25,40,14601,216172782113783825,144115188075855878,144115188075855880,72057594037927938,72057594037927939,4202,8203,39,1,0,0,365,365,0,365,0,14600,7994,0,7994,0,7994,7994
3,3668340011,59,25,40,14601,216172782113783818,144115188075855876,144115188075855877,72057594037927937,72057594037927938,2802,393,22,1,0,0,365,365,0,365,0,14600,11942,0,11942,0,11942,11942
3,3668340011,59,25,40,14601,216172782113783819,144115188075855877,144115188075855878,72057594037927938,72057594037927938,393,2206,18,1,0,1,365,365,0,365,0,14600,12892,905,12892,0,12754,12754
3,3668340011,59,25,40,14601,216172782113783820,144115188075855878,144115188075855879,72057594037927938,72057594037927938,2206,492,28,1,0,0,365,365,0,365,0,14600,10486,0,10486,0,10486,10486
