seed,years,meetings,comparisons,returned,failed_trips,editions,true_ages,waiting,valid
1,30,2,5,4,0,0,0,2,1
2,30,0,0,1,0,0,0,0,1
3,30,2,5,4,1,0,0,1,1
4,30,0,0,0,0,0,0,0,1
5,30,3,10,7,0,0,0,2,1
6,30,4,9,3,1,0,0,3,1
7,30,4,9,6,2,0,0,2,1
8,30,1,3,3,0,0,0,3,1
9,30,0,0,0,0,0,0,0,1
10,30,1,2,1,0,0,0,1,1
11,30,4,6,3,0,0,0,4,1
12,30,4,8,6,1,0,0,1,1
13,30,0,0,1,1,0,0,1,1
14,30,0,0,0,0,0,0,0,1
15,30,3,5,7,1,0,0,0,1
16,30,0,0,0,0,0,0,0,1
17,30,0,0,0,0,0,0,0,1
18,30,2,5,4,1,0,0,2,1
19,30,3,9,4,3,0,0,0,1
20,30,3,6,3,3,0,0,0,1
21,30,0,0,0,0,0,0,0,1
22,30,0,0,0,0,0,0,0,1
23,30,3,5,4,1,0,0,2,1
24,30,4,8,5,2,0,0,1,1
25,30,0,0,0,0,0,0,0,1
26,30,0,0,0,0,0,0,0,1
27,30,2,7,2,3,0,0,2,1
28,30,3,6,6,2,0,0,0,1
29,30,0,0,0,0,0,0,0,1
30,30,4,8,7,0,0,0,2,1
31,30,0,0,1,1,0,0,2,1
32,30,1,2,1,0,0,0,1,1
